,Unnamed: 0,LINEUP_ID,E_VAL,MINS,player_one,player_two,player_three,player_four,player_five,PLAYER_NAMES,PTS,E_VAL_PER_MIN,PTS_PER_MIN
411,53,-1628386-1629622-1629731-1630171-1641854-,127.837,59.001666666666665,1628386,1629622,1629731,1630171,1641854,"('Jarrett Allen', 'Max Strus', 'Dean Wade', 'Isaac Okoro', 'Craig Porter')",145,2.1666676082596537,2.4575576961102796
412,0,-1627747-1628378-1628386-1629622-1630171-,112.682,53.03,1627747,1628378,1628386,1629622,1630171,"('Caris LeVert', 'Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Isaac Okoro')",114,2.1248727135583634,2.1497265698661137
413,306,-202684-1627747-1627777-1630241-1641854-,104.044,43.96,202684,1627747,1627777,1630241,1641854,"('Tristan Thompson', 'Caris LeVert', 'Georges Niang', 'Sam Merrill', 'Craig Porter')",139,2.3667879890809824,3.16196542311192
414,54,-1628386-1629622-1629636-1629731-1630596-,83.387,41.71666666666667,1628386,1629622,1629636,1629731,1630596,"('Jarrett Allen', 'Max Strus', 'Darius Garland', 'Dean Wade', 'Evan Mobley')",86,1.9988893328006392,2.0615261685976827
415,0,-1627747-1627777-1628378-1629622-1630596-,89.02,40.13,1627747,1627777,1628378,1629622,1630596,"('Caris LeVert', 'Georges Niang', 'Donovan Mitchell', 'Max Strus', 'Evan Mobley')",123,2.2182905556939945,3.065038624470471
416,53,-1628378-1628386-1629622-1629636-1629731-,81.502,38.53333333333333,1628378,1628386,1629622,1629636,1629731,"('Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Darius Garland', 'Dean Wade')",98,2.115103806228374,2.5432525951557095
417,309,-202684-1627747-1627777-1629622-1630241-,78.15,37.3,202684,1627747,1627777,1629622,1630241,"('Tristan Thompson', 'Caris LeVert', 'Georges Niang', 'Max Strus', 'Sam Merrill')",89,2.095174262734585,2.3860589812332442
418,1,-1627747-1628378-1628386-1629622-1629731-,56.205,29.25,1627747,1628378,1628386,1629622,1629731,"('Caris LeVert', 'Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Dean Wade')",86,1.9215384615384614,2.9401709401709404
419,3,-1627747-1628378-1629622-1629636-1630596-,61.581,25.166666666666668,1627747,1628378,1629622,1629636,1630596,"('Caris LeVert', 'Donovan Mitchell', 'Max Strus', 'Darius Garland', 'Evan Mobley')",70,2.4469271523178806,2.781456953642384
420,1,-1627747-1627777-1628386-1629636-1630171-,43.175,24.716666666666665,1627747,1627777,1628386,1629636,1630171,"('Caris LeVert', 'Georges Niang', 'Jarrett Allen', 'Darius Garland', 'Isaac Okoro')",62,1.7467970330411329,2.508428860418072
